index,Price
0,8710924
1,1844188
2,8967314
3,7031498
4,231777
5,8802262
6,932725
7,2053230
8,9508228
9,4159107
10,9473967
11,160216
12,4892291
13,7920389
14,1410929
15,2595202
16,2621880
17,5814078
18,4625946
19,7695937
20,8893541
21,2192174
22,3800561
23,5064197
24,3616951
25,7042959
26,2123715
27,9787121
28,5771471
29,1299968
30,9556485
31,8146762
32,7261605
33,8235632
34,354531
35,6983853
36,8224525
37,9186727
38,8997973
39,9500292
40,4293211
41,2136991
42,8179459
43,9273120
44,1028220
45,7654830
46,2114665
47,7935603
48,1932981
49,8062289
50,469199
51,2681108
52,8483482
53,7024151
54,5379410
55,9498032
56,4228617
57,5140466
58,9090554
59,8257362
60,9338948
61,5686401
62,7269006
63,8101565
64,1232628
65,3514804
66,9684968
67,3707137
68,9002483
69,4313893
70,794961
71,4677277
72,8053772
73,4459742
74,8102974
75,2437537
76,6038831
77,1087647
78,7171104
79,8101326
80,6872160
81,5085395
82,7706574
83,3143276
84,9759697
85,3125452
86,8142537
87,8094334
88,6103155
89,8683494
90,5578968
91,4869767
92,4832529
93,3396369
94,6665943
95,7759051
96,6325247
97,9995240
98,7762113
99,5785443
100,6816028
101,7455470
102,257438
103,9354544
104,2871685
105,1516100
106,3806779
107,6719441
108,7743523
109,9054580
110,654999
111,8240641
112,3401370
113,4722884
114,7327779
115,9028684
116,675343
117,8957256
118,2089645
119,972894
120,6060445
121,9550560
122,5128342
123,5159129
124,6121215
125,1473716
126,4374760
127,165783
128,6225694
129,8768117
130,3217323
131,1003261
132,788863
133,438531
134,8568550
135,8486445
136,8365070
137,7310795
138,3578123
139,1837317
140,3300508
141,9777327
142,5241254
143,7569820
144,3506936
145,5278974
146,1401775
147,947094
148,5340831
149,8568857
150,4167133
151,2181565
152,1920407
153,213094
154,7758379
155,5304954
156,3719794
157,2461386
158,4764763
159,813926
160,553104
161,5964271
162,9438119
163,990992
164,4291180
165,2986931
166,3124017
167,9124868
168,3511973
169,8332275
170,5915263
171,8730019
172,1793766
173,326218
174,1428467
175,3391809
176,3978131
177,7068031
178,1027580
179,9391652
