Index,Price
0,2029879.000000
1,614682.000000
2,840184.000000
3,545346.000000
4,761856.000000
5,803662.000000
6,495326.000000
7,1512170.000000
8,609492.000000
9,1482415.000000
10,2098842.000000
11,745197.000000
12,1085253.000000
13,608901.000000
14,713610.000000
15,883901.000000
16,557476.000000
17,709195.000000
18,2283542.000000
19,384827.000000
20,648337.000000
21,993438.000000
22,1036068.000000
23,1262556.000000
24,1749577.000000
25,762586.000000
26,592511.000000
27,612557.000000
28,662646.000000
29,1288391.000000
30,645688.000000
31,1709998.000000
32,321428.000000
33,419236.000000
34,729904.000000
35,519599.000000
36,1629385.000000
37,558378.000000
38,1083971.000000
39,613784.000000
40,1153789.000000
41,1049458.000000
42,1318329.000000
43,283540.000000
44,1003948.000000
45,1247106.000000
46,650350.000000
47,668212.000000
48,478096.000000
49,1176780.000000
50,867101.000000
51,2394055.000000
52,674697.000000
53,871123.000000
54,1601579.000000
55,517407.000000
56,669006.000000
57,1801802.000000
58,1283152.000000
59,1566123.000000
60,706707.000000
61,1423205.000000
62,1245008.000000
63,1115920.000000
64,2565596.000000
65,1452032.000000
66,1610366.000000
67,637486.000000
68,1153276.000000
69,701285.000000
70,706470.000000
71,1373605.000000
72,1044795.000000
73,2053030.000000
74,1239558.000000
75,1774962.000000
76,603681.000000
77,1055851.000000
78,535934.000000
79,2472283.000000
80,766740.000000
81,732114.000000
82,478340.000000
83,1754288.000000
84,999932.000000
85,702632.000000
86,810940.000000
87,1332782.000000
88,600604.000000
89,356966.000000
90,540584.000000
91,1238135.000000
92,1286593.000000
93,1584924.000000
94,1100960.000000
95,1943054.000000
96,453201.000000
97,2474936.000000
98,1519969.000000
99,1283136.000000
100,638782.000000
101,1389495.000000
102,2201663.000000
103,1351365.000000
104,454801.000000
105,630853.000000
106,1379546.000000
107,1554756.000000
108,527786.000000
109,1936091.000000
110,2732545.000000
111,1042084.000000
112,596602.000000
113,1253476.000000
114,2189446.000000
115,555522.000000
116,1270829.000000
117,2526538.000000
118,1095156.000000
119,1407476.000000
120,2162222.000000
121,429393.000000
122,1097154.000000
123,1068292.000000
124,841853.000000
125,1319287.000000
126,2103433.000000
127,572132.000000
128,850188.000000
129,816140.000000
130,540052.000000
131,838994.000000
132,1149765.000000
133,2583113.000000
134,670815.000000
135,983236.000000
136,1035858.000000
137,715563.000000
138,1024805.000000
139,581356.000000
140,1270186.000000
141,1284098.000000
142,967253.000000
143,1016064.000000
144,1017874.000000
145,2338699.000000
146,1890272.000000
147,694511.000000
148,1131581.000000
149,954664.000000
150,529587.000000
151,762949.000000
152,482423.000000
153,878200.000000
154,1248994.000000
155,1679346.000000
156,1965888.000000
157,1302949.000000
158,560282.000000
159,1208895.000000
160,939340.000000
161,2757844.000000
162,1638347.000000
163,541715.000000
164,1075011.000000
165,2247120.000000
166,1264884.000000
167,697391.000000
168,505275.000000
169,684807.000000
170,1512418.000000
171,1137299.000000
172,695641.000000
173,646085.000000
174,528047.000000
175,1075011.000000
176,650883.000000
177,531770.000000
178,1018962.000000
179,916881.000000
180,2645064.000000
181,1129625.000000
182,608610.000000
183,705206.000000
184,1263062.000000
185,1305317.000000
186,1851368.000000
187,1809645.000000
188,639250.000000
189,722628.000000
190,634680.000000
191,737895.000000
192,538815.000000
193,1112338.000000
194,614410.000000
195,1225570.000000
196,898742.000000
197,733983.000000
198,847347.000000
199,1088952.000000
200,563620.000000
201,688691.000000
202,696318.000000
203,850739.000000
204,1589777.000000
205,2239589.000000
206,687064.000000
207,1719716.000000
208,841013.000000
209,1144902.000000
210,759493.000000
211,869437.000000
212,1812006.000000
213,1069241.000000
214,725636.000000
215,522331.000000
216,789640.000000
217,783942.000000
218,1728951.000000
219,598864.000000
220,1211918.000000
221,1273801.000000
222,1848089.000000
223,1724437.000000
224,658754.000000
225,1299063.000000
226,1092572.000000
227,769294.000000
228,766656.000000
229,390770.000000
230,535406.000000
231,765995.000000
232,773880.000000
233,2262069.000000
234,1144544.000000
235,1113845.000000
236,877385.000000
237,809120.000000
238,2664861.000000
239,2122731.000000
240,776054.000000
241,710480.000000
242,1724209.000000
243,1411455.000000
244,2600008.000000
245,322526.000000
246,661120.000000
247,1460686.000000
248,1386316.000000
249,1693367.000000
250,468412.000000
251,954354.000000
252,1156620.000000
253,617923.000000
254,809052.000000
255,746530.000000
256,1309103.000000
257,982263.000000
258,778812.000000
259,669469.000000
260,662456.000000
261,881065.000000
262,1471486.000000
263,1302884.000000
264,1912591.000000
265,1373122.000000
266,1361747.000000
267,1345403.000000
268,1186874.000000
269,1157662.000000
270,1091812.000000
271,817493.000000
272,1068874.000000
273,1791453.000000
274,504802.000000
275,992092.000000
276,895982.000000
277,965292.000000
278,736835.000000
279,1266268.000000
280,1396810.000000
281,417465.000000
282,820466.000000
283,610299.000000
284,664442.000000
285,1424873.000000
286,717891.000000
287,973056.000000
288,1388285.000000
289,587914.000000
290,1785156.000000
291,1774967.000000
292,1017574.000000
293,2001927.000000
294,1186451.000000
295,1384124.000000
296,459020.000000
297,730085.000000
298,842249.000000
299,613766.000000
300,857948.000000
301,733924.000000
302,2192058.000000
303,390528.000000
304,2393964.000000
305,779666.000000
306,842104.000000
307,752054.000000
308,827472.000000
309,651423.000000
310,530193.000000
311,622711.000000
312,571156.000000
313,2094552.000000
314,1027680.000000
315,606606.000000
316,693120.000000
317,1727204.000000
318,977322.000000
319,474401.000000
320,696373.000000
321,740924.000000
322,669774.000000
323,543552.000000
324,1165009.000000
325,620873.000000
326,395350.000000
327,930676.000000
328,3051199.000000
329,694032.000000
330,695499.000000
331,1248127.000000
332,778883.000000
333,1530238.000000
334,694448.000000
335,555390.000000
336,774536.000000
337,1425326.000000
338,777629.000000
339,1015220.000000
340,1278605.000000
341,673115.000000
342,1308934.000000
343,1358432.000000
344,950977.000000
345,670801.000000
346,1317059.000000
347,713692.000000
348,417174.000000
349,574061.000000
350,881925.000000
351,850425.000000
352,1155172.000000
353,1261999.000000
354,801372.000000
355,509482.000000
356,456016.000000
357,1085683.000000
358,896032.000000
359,883271.000000
360,741380.000000
361,624602.000000
362,1199540.000000
363,1023053.000000
364,764851.000000
365,518462.000000
366,539217.000000
367,554889.000000
368,943670.000000
369,721256.000000
370,1331572.000000
371,1379242.000000
372,1532373.000000
373,1237849.000000
374,1536702.000000
375,1417352.000000
376,1769339.000000
377,358223.000000
378,571355.000000
379,930906.000000
380,444586.000000
381,1010693.000000
382,812782.000000
383,547265.000000
384,824958.000000
385,713586.000000
386,1098984.000000
387,1328420.000000
388,552248.000000
389,506428.000000
390,739632.000000
391,448419.000000
392,1967733.000000
393,1183177.000000
394,1044256.000000
395,1920559.000000
396,1645683.000000
397,526612.000000
398,814464.000000
399,699614.000000
400,732283.000000
401,2156590.000000
402,741085.000000
403,389711.000000
404,677273.000000
405,1066944.000000
406,1577778.000000
407,1866850.000000
408,578443.000000
409,564371.000000
410,1015619.000000
411,1688092.000000
412,907704.000000
413,967917.000000
414,2284644.000000
415,778828.000000
416,1181359.000000
417,1033122.000000
418,900207.000000
419,856581.000000
420,550374.000000
421,1256665.000000
422,2062517.000000
423,976684.000000
424,1177224.000000
425,1385517.000000
426,592781.000000
427,1901127.000000
428,599054.000000
429,921809.000000
430,682340.000000
431,1259374.000000
432,2912206.000000
433,1793068.000000
434,585340.000000
435,853007.000000
436,1076369.000000
437,693655.000000
438,1062348.000000
439,1136566.000000
440,625194.000000
441,1199341.000000
442,569729.000000
443,1016786.000000
444,328311.000000
445,1236875.000000
446,783701.000000
447,1126545.000000
448,1026736.000000
449,767418.000000
450,925088.000000
451,826440.000000
452,1988770.000000
453,1181317.000000
454,745006.000000
455,787560.000000
456,841530.000000
457,876800.000000
458,1431287.000000
459,1485762.000000
460,995624.000000
461,760879.000000
462,1136642.000000
463,632422.000000
464,541120.000000
465,662802.000000
466,563057.000000
467,542603.000000
468,851177.000000
469,1612303.000000
470,788591.000000
471,422516.000000
472,1115902.000000
473,921540.000000
474,658180.000000
475,1303121.000000
476,2184062.000000
477,585134.000000
478,1478645.000000
479,475100.000000
480,575384.000000
481,734324.000000
482,1528754.000000
483,1403272.000000
484,437282.000000
485,1786368.000000
486,679345.000000
487,492226.000000
488,431890.000000
489,915537.000000
490,1178740.000000
491,1149496.000000
492,759499.000000
493,667440.000000
494,577826.000000
495,874799.000000
496,2285528.000000
497,807888.000000
498,601712.000000
499,1244306.000000
500,921684.000000
501,525871.000000
502,1758743.000000
503,451376.000000
504,741430.000000
505,517943.000000
506,699631.000000
507,1355126.000000
508,670616.000000
509,893833.000000
510,451482.000000
511,1296182.000000
512,896580.000000
513,723673.000000
514,559522.000000
515,1063675.000000
516,648484.000000
517,732850.000000
518,13673102.000000
519,2497496.000000
520,623593.000000
521,1178225.000000
522,1582388.000000
523,964268.000000
524,677387.000000
525,1061531.000000
526,823303.000000
527,1539391.000000
528,442528.000000
529,922534.000000
530,3657236.000000
531,1970994.000000
532,1224434.000000
533,767862.000000
534,1272147.000000
535,915623.000000
536,544268.000000
537,936848.000000
538,744174.000000
539,304928.000000
540,1399802.000000
541,1238592.000000
542,1353053.000000
543,328508.000000
544,1708999.000000
545,1351488.000000
546,1408645.000000
547,733485.000000
548,1169788.000000
549,1082635.000000
550,611561.000000
551,1119419.000000
552,2062330.000000
553,955019.000000
